--- Terminal on /dev/ttyUSB0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
GEARS MODE
[FeedbackStepper] Shift from 0 to -293872
Expected (avg) delay: 485	Measured (avg) delay: 518.31
Encoder reading: -356454		Average error: -0.64
Total correction: 12876
-80	-123	16
-80	-123	16
-80	-118	12
-80	-122	15
-80	-114	9
-80	-110	5
-80	-97	-4
-80	-95	-5
-80	-91	-8
-80	-80	-17
-80	-83	-15
-80	-83	-15
-80	-81	-16
-80	-80	-17
-80	-88	-11
-80	-92	-8
-80	-97	-4
-80	-106	2
-80	-117	11
-80	-127	19
-80	-131	22
-80	-131	22
-80	-140	29
-80	-132	23
-80	-120	13
-80	-117	11
-80	-108	4
-80	-95	-5
-80	-92	-8
-80	-87	-12
-80	-80	-17
-80	-79	-18
-80	-82	-15
-80	-83	-15
-80	-81	-16
-80	-92	-8
-80	-98	-3
-80	-102	0
-80	-105	2
-80	-117	11
-80	-120	13
-80	-119	12
-80	-123	16
-80	-122	15
-80	-111	6
-80	-107	3
-80	-103	0
-80	-96	-4
-80	-84	-14
-80	-87	-12
-80	-82	-15
-80	-77	-19
-80	-84	-14
-80	-83	-15
-80	-88	-11
-80	-88	-11
-80	-99	-2
-80	-110	5
-80	-116	10
-80	-119	12
-80	-134	24
-80	-136	26
-80	-131	22
-80	-135	25
-80	-125	17
-80	-118	12
-80	-103	0
-80	-98	-3
-80	-93	-7
-80	-82	-15
-80	-83	-15
-80	-82	-15
-80	-80	-17
-80	-79	-18
-80	-87	-12
